lineitem_rows,supplier_rows,estimated,actual
10,10,37.130000,0.030455
1000000,10,1213773.004201,0.851726
2000000,10,2740022.678433,1.459288
3000000,10,4578775.477696,2.082517
4000000,10,6730031.401990,2.745498
5000000,10,9193790.451316,3.403860
6000000,10,11970052.625673,4.101510
7000000,10,14402561.362495,4.675023
8000000,10,16460066.349280,5.186484
9000000,10,18517571.336065,5.920138
10000000,10,20575076.322850,6.526803
11000000,10,22632581.309635,7.094139
12000000,10,24690086.296420,7.690254
10,1000,1069.205000,0.002785
1000000,1000,1215298.770918,0.571131
2000000,1000,2742042.136866,1.139148
3000000,1000,4581288.627847,1.914510
4000000,1000,6733038.243858,2.514284
5000000,1000,9197290.984900,3.215554
6000000,1000,11974046.850974,3.827504
7000000,1000,14407049.279514,4.376473
8000000,1000,16465047.958016,4.919633
9000000,1000,18523046.636518,5.721134
10000000,1000,20581045.315020,6.234568
11000000,1000,22639043.993522,6.884261
12000000,1000,24697042.672024,7.525662
10,2000,2111.705000,0.003607
1000000,2000,1216839.949420,0.597572
2000000,2000,2744081.993870,1.203837
3000000,2000,4583827.163352,1.954193
4000000,2000,6736075.457866,2.638275
5000000,2000,9200826.877410,3.298372
6000000,2000,11978081.421986,3.818477
7000000,2000,14411582.529028,4.385264
8000000,2000,16470079.886032,4.915729
9000000,2000,18528577.243035,5.618520
10000000,2000,20587074.600039,6.148607
11000000,2000,22645571.957043,6.820800
12000000,2000,24704069.314047,7.386490
10,3000,3154.205000,0.004204
1000000,3000,1218381.127922,0.603118
2000000,3000,2746121.850874,1.200639
3000000,3000,4586365.698858,1.914912
4000000,3000,6739112.671874,2.516417
5000000,3000,9204362.769920,3.236664
6000000,3000,11982115.992998,3.970106
7000000,3000,14416115.778541,4.460578
8000000,3000,16475111.814047,5.097659
9000000,3000,18534107.849553,5.673348
10000000,3000,20593103.885059,6.221214
11000000,3000,22652099.920565,6.901063
12000000,3000,24711095.956071,7.599746
10,4000,4196.705000,0.003295
1000000,4000,1219922.306424,0.586506
2000000,4000,2748161.707878,1.185310
3000000,4000,4588904.234364,1.924652
4000000,4000,6742149.885882,2.541282
5000000,4000,9207898.662430,3.211956
6000000,4000,11986150.564010,3.854705
7000000,4000,14420649.028055,4.371711
8000000,4000,16480143.742063,4.973569
9000000,4000,18539638.456071,5.648406
10000000,4000,20599133.170079,6.164243
11000000,4000,22658627.884087,6.811750
12000000,4000,24718122.598095,7.378630
10,5000,5239.205000,0.004927
1000000,5000,1221463.484925,0.592982
2000000,5000,2750201.564882,1.170191
3000000,5000,4591442.769870,1.927802
4000000,5000,6745187.099889,2.570960
5000000,5000,9211434.554940,3.232902
6000000,5000,11990185.135022,3.843361
7000000,5000,14425182.277569,4.394527
8000000,5000,16485175.670079,5.010982
9000000,5000,18545169.062589,5.683987
10000000,5000,20605162.455098,6.137054
11000000,5000,22665155.847608,6.822847
12000000,5000,24725149.240118,7.495434
10,6000,6281.705000,0.005662
1000000,6000,1223004.663427,0.615206
2000000,6000,2752241.421886,1.185518
3000000,6000,4593981.305376,1.923599
