rows,num_cols,estimated,actual
10,1,19.930000,0.002917
1000000,1,1190008.030000,0.725765
2000000,1,2380008.030000,1.449619
3000000,1,3570008.030000,2.189507
4000000,1,4750267.300000,2.928099
5000000,1,5930267.300000,3.608837
6000000,1,7110267.300000,4.392930
7000000,1,8290267.300000,5.078807
8000000,1,9470267.300000,5.899181
9000000,1,10650267.300000,6.565307
10000000,1,11830267.300000,7.232517
11000000,1,13010267.300000,7.994943
12000000,1,14190267.300000,8.652831
