rows,num_cols,estimated,actual
10,1,30.830000,0.009355
1000000,1,2280008.030000,0.927285
2000000,1,4560008.030000,1.837067
3000000,1,6840008.030000,2.763610
4000000,1,8010013.030000,3.726523
5000000,1,9180013.030000,4.647007
6000000,1,10350013.030000,5.561615
7000000,1,11520013.030000,6.482572
8000000,1,12690013.030000,7.488520
9000000,1,13860013.030000,8.383537
10000000,1,15030013.030000,9.341458
11000000,1,16200013.030000,10.282343
12000000,1,17370013.030000,11.209018
