rows,num_cols,estimated,actual
10,1,20.684386,0.023950
1000000,1,1754880.953802,1.100686
2000000,1,3862257.012635,1.892981
3000000,1,6297233.946543,2.631698
4000000,1,9054518.505396,3.507147
5000000,1,12131596.748812,4.264445
6000000,1,15526987.998368,5.105693
7000000,1,18583457.308793,6.551339
8000000,1,21269058.991092,7.569584
9000000,1,23958276.862738,8.394064
10000000,1,26650707.352842,9.313606
11000000,1,29346028.061352,10.196463
12000000,1,32043975.476811,11.123206
10,2,20.884386,0.001221
1000000,2,1774880.953802,0.880041
2000000,2,3902257.012635,1.782380
3000000,2,6357233.946543,2.687251
4000000,2,9134518.505396,4.353698
5000000,2,12231596.748812,5.336335
6000000,2,15646987.998368,6.398166
7000000,2,18723457.308793,7.462233
8000000,2,21429058.991092,8.478324
9000000,2,24138276.862738,9.496832
10000000,2,26850707.352842,10.533683
11000000,2,29566028.061352,11.652269
12000000,2,32283975.476811,12.592783
10,3,21.084386,0.001053
1000000,3,1794880.953802,0.965548
2000000,3,3942257.012635,1.972578
3000000,3,6417233.946543,3.724481
4000000,3,9214518.505396,4.827188
5000000,3,12331596.748812,6.081372
6000000,3,15766987.998368,7.286185
7000000,3,18863457.308793,8.399819
8000000,3,21589058.991092,9.604619
9000000,3,24318276.862738,10.735870
10000000,3,27050707.352842,11.938827
11000000,3,29786028.061352,13.058344
12000000,3,32523975.476811,14.291797
